row_number,year,unc_status,comp_major,primary_major,prereqs,prior_exp,AP_Principles,AP_A,other_comp,prior_time,languages,residency,on_campus,international,section,lesson_time,sync_perf,all_sync,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,kaki_effective,pace,difficulty,understanding,interested,valuable,grade,would_recommend
186,24,Incoming First-year Student,No,Nutrition,MATH 231,None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,2,7,7,2,3,5,1,7,2,7,4,4,7,7,2,7,7,B,4
187,24,Incoming First-year Student,No,History,"MATH 231, MATH 232, MATH 233, STOR 120, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,2,1,5,6,7,6,7,,7,5,5,5,5,5,A,6
188,21,Returning UNC Student,No,Exercise And Sport Science,"MATH 130, MATH 231, PSYC 210, PSYC 215, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,7,7,7,5,4,5,6,2,6,7,4,7,6,7,3,2,3,B,4
189,23,Incoming First-year Student,Yes - Minor,Economics,"MATH 130, MATH 231, STOR 113",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,3,3,7,4,3,6,4,5,3,7,,4,5,3,3,6,5,B,5
190,22,Returning UNC Student,No,Psychology,"MATH 129P, MATH 231, PSYC 210",2-6 months,No,No,UNC,1 month or so,"Python, C / C++, JavaScript / TypeScript",In-state,No,I am living in the United States,Section 2 - 5:00pm - Async,5,3,2,5,7,1,6,5,7,5,7,,6,4,4,6,7,7,B,6
191,23,Returning UNC Student,Yes - BS,Computer Science,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",Over 2 years,Yes,No,UNC,1 month or so,"Python, Java / C#, C / C++, HTML / CSS",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,3,7,6,0,6,7,7,6,,,7,4,2,7,7,6,A,7
192,21,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,1,1,7,5,1,5,3,4,6,6,,7,7,4,5,4,3,A,4
193,22,Returning UNC Student,No,Psychology,"MATH 129P, MATH 130, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,7,7,6,1,0,7,4,6,1,,,,6,3,5,2,6,B,2
194,23,Returning UNC Student,No,Biology,"MATH 130, MATH 231, STOR 113, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,1,1,7,1,5,6,6,5,4,7,4,7,5,7,1,5,4,C,4
195,23,Returning UNC Student,No,Psychology,"MATH 129P, MATH 130, MATH 231, PSYC 210",2-6 months,Yes,Yes,None,None to less than one month!,"Python, HTML / CSS",In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,1,1,4,1,0,5,5,5,2,4,4,4,6,5,4,4,5,C,4
196,24,Returning UNC Student,Yes - BA,Computer Science,"MATH 129P, MATH 130, MATH 231, STOR 155",1-2 years,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, JavaScript / TypeScript",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,1,7,4,1,5,4,7,3,7,6,6,6,6,6,7,7,A,7
197,23,Returning UNC Student,No,Statistics,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,2,7,6,3,6,6,7,7,7,5,6,4,4,5,7,7,A,7
198,24,Returning UNC Student,No,Public Health,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,6,4,4,6,2,2,6,7,7,6,7,7,,5,5,5,6,7,A,5
199,21,Returning UNC Student,No,Psychology,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 151",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS, SQL",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,6,2,4,5,1,6,4,6,4,7,7,5,5,6,3,5,5,B,3
200,22,Returning UNC Student,No,Statistics,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,7,7,7,6,2,7,7,5,5,6,6,5,7,6,4,4,5,A,6
201,22,Returning UNC Student,No,Statistics,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,7,7,7,6,2,7,7,5,5,6,6,5,7,6,4,4,5,A,6
202,24,Incoming First-year Student,Yes - Minor,Business,"MATH 129P, MATH 231, MATH 232",2-6 months,Yes,No,None,None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,3,4,3,5,3,1,6,5,5,3,4,4,5,6,5,3,4,5,B,6
203,24,Incoming First-year Student,No,BME,"MATH 129P, MATH 231, MATH 232, MATH 233",2-6 months,No,No,High school course (IB or other),None to less than one month!,"Python, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,3,3,6,6,0,6,6,6,6,,,4,5,5,5,4,7,A,6
204,24,Incoming First-year Student,No,Information Science,"MATH 231, STOR 155",7-12 months,Yes,Yes,High school course (IB or other),1 month or so,"Python, Java / C#, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,3,3,7,6,2,6,6,7,6,7,6,6,4,3,5,5,7,A,7
205,24,Incoming First-year Student,No,Undecided,"MATH 129P, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 1 - 3:30pm - Sync + Async,7,3,3,7,6,0,6,6,7,6,4,4,4,5,5,6,7,5,A,7
206,24,Returning UNC Student,No,Statistics,"MATH 231, MATH 232, MATH 233, PHIL 155 STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,6,5,6,4,2,6,6,5,5,5,,5,7,6,3,6,7,D,5
207,24,Returning UNC Student,No,Statistics,"MATH 231, MATH 232, MATH 233, PHIL 155 STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,6,5,6,4,2,6,6,5,5,5,,5,7,6,3,6,7,D,5
208,24,Incoming First-year Student,No,Biology,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,7,7,7,5,4,6,6,7,3,6,4,5,5,4,6,7,7,B,7
209,21,Returning UNC Student,No,Biology,"MATH 129P, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,2,2,2,5,5,0,5,3,4,2,3,5,5,7,6,3,5,4,C,5
210,23,Returning UNC Student,No,Statistics,"MATH 129P, MATH 130, MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,5,7,4,6,3,1,2,7,2,6,4,1,7,7,2,6,5,B,4
211,22,Incoming Transfer Student,No,Environmental Science,MATH 231,None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,4,7,2,2,7,7,7,7,7,4,7,5,5,4,7,7,B,7
212,23,Returning UNC Student,Yes - Minor,Environmental Science,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,2,2,7,5,0,6,5,7,5,,,,5,4,6,7,6,A,6
213,24,Returning UNC Student,No,Biology,"MATH 129P, MATH 233, STOR 155",1-2 years,No,No,On-line course,None to less than one month!,"R / Matlab / SAS, Other",In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,3,3,1,6,5,1,7,5,7,7,,,7,4,4,6,7,7,A,7
214,23,Incoming First-year Student,No,Biology,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,2,1,1,7,5,1,7,5,7,6,7,7,7,5,4,5,7,6,A,7
215,22,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, MATH 232, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,3,1,1,7,4,0,7,1,7,2,,,,7,4,6,7,6,A,7
216,21,Returning UNC Student,No,Math,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 113",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,5,3,5,5,6,5,7,,7,5,5,6,7,7,A,6
217,23,Returning UNC Student,No,Economics,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 151, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,1,1,7,4,4,5,5,6,4,7,,5,5,6,4,5,3,B,4
218,24,Incoming First-year Student,No,Business,"MATH 231, MATH 232",2-6 months,Yes,No,None,None to less than one month!,"Python, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,7,7,7,6,2,5,5,5,5,7,,,5,5,3,6,6,A,6
219,23,Returning UNC Student,No,Environmental Science,"MATH 231, MATH 232, MATH 233",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, R / Matlab / SAS",Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,7,5,3,7,6,0,7,6,7,5,,,,6,3,5,6,7,B,6
220,22,Returning UNC Student,No,Math,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, PHIL 155 STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,1,1,1,7,1,0,5,7,7,7,,,,6,5,6,7,7,A,7
221,24,Returning UNC Student,Yes - Minor,Neuroscience,"MATH 129P, MATH 231, MATH 232",Over 2 years,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#",Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,1,1,1,7,7,1,7,4,6,5,7,,,5,1,7,7,7,A,4
223,24,Returning UNC Student,No,Undecided,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,3,6,3,1,3,3,6,4,5,,,5,4,6,7,6,A,7
224,23,Returning UNC Student,No,Neuroscience,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,1,1,3,5,3,5,5,5,2,2,4,4,7,7,5,5,5,C,5
225,24,Incoming First-year Student,Yes - BA,Advertising And Public Relations,"MATH 129P, MATH 231",2-6 months,No,No,Other,None to less than one month!,"Python, Java / C#, HTML / CSS",Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,2,2,2,2,2,6,5,7,6,7,,,5,5,3,6,6,B,7
226,23,Returning UNC Student,No,Chemistry,"MATH 129P, MATH 231, MATH 232, MATH 233",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,7,7,7,2,5,7,7,7,7,7,,,5,6,3,5,5,B,4
227,23,Returning UNC Student,No,Psychology,"MATH 130, MATH 231, PSYC 210, STOR 151, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,2,1,7,2,3,5,2,5,5,7,4,1,4,5,4,2,7,B,3
228,23,Returning UNC Student,Yes - Minor,Economics,"MATH 130, MATH 152, MATH 231, MATH 232, STOR 155",2-6 months,No,No,None,1 month or so,Python,Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,2,1,1,7,7,1,4,4,5,4,3,3,6,5,5,5,7,7,A,5
229,24,Returning UNC Student,Yes - Minor,Business,"MATH 129P, MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,3,7,5,5,4,7,5,5,7,7,7,6,7,3,6,6,A,5
230,23,Incoming First-year Student,Yes - BS,Computer Science,"MATH 129P, MATH 130, MATH 231, MATH 232, MATH 233, MATH 381, STOR 120",2-6 months,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,1,1,1,2,4,0,6,3,5,4,2,3,7,4,2,6,4,5,A,6
231,24,Incoming First-year Student,Yes - BS,Computer Science,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,4,4,2,2,0,6,5,6,6,,,,5,4,5,7,7,B,7
232,23,Returning UNC Student,No,Neuroscience,"MATH 210, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,7,4,2,7,5,3,6,6,6,4,5,6,7,5,5,5,5,5,B,5
233,23,Returning UNC Student,No,Biostatistics,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 347, MATH 381, STOR 155",1-2 years,No,Yes,On-line course,2-6 months,"Python, Java / C#, R / Matlab / SAS",Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,4,1,1,7,7,3,7,7,7,7,7,7,7,5,3,5,5,7,A,7
234,23,Returning UNC Student,No,Environmental Science,"MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,2,1,1,7,2,1,7,7,4,5,5,,7,6,7,2,2,4,B,6
235,23,Returning UNC Student,No,Environmental Science,MATH 233,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,7,7,7,2,2,7,4,4,5,3,1,6,6,6,3,7,6,C,4
236,23,Returning UNC Student,No,Environmental Science,MATH 233,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,7,7,7,2,2,7,4,4,5,3,1,6,6,6,3,7,6,C,4
237,24,Returning UNC Student,Yes - BA,Computer Science,"MATH 129P, MATH 130, MATH 231, STOR 155",2-6 months,Yes,No,On-line course,1 month or so,"Python, Java / C#, C / C++",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,6,5,3,6,0,7,6,7,3,4,4,6,5,4,5,6,7,A,6
238,24,Incoming First-year Student,Yes - BA,Computer Science,"MATH 130, MATH 231",2-6 months,No,No,On-line course,None to less than one month!,Python,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,2,2,5,1,2,6,7,4,6,7,5,5,7,5,3,5,7,B,5
239,22,Returning UNC Student,No,Biology,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,3,2,7,2,2,4,5,4,5,6,,3,4,5,2,5,2,B,5
240,24,Incoming First-year Student,No,Economics,"MATH 231, MATH 232, MATH 233, MATH 347",7-12 months,Yes,No,High school course (IB or other),None to less than one month!,"Python, Java / C#",Out-of-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,6,2,1,7,3,1,6,4,5,3,6,,3,5,4,5,5,6,A,6
241,24,Incoming First-year Student,No,BME,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,1,1,7,5,2,6,2,6,4,7,6,7,4,6,5,7,7,B,7
242,24,Incoming First-year Student,No,Biology,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 2 - 5:00pm - Async,4,1,1,7,1,3,7,5,6,2,7,6,,7,4,6,7,6,B,7
243,23,Returning UNC Student,Yes - BS,Computer Science,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233",2-6 months,No,No,On-line course,2-6 months,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,3,5,5,3,7,7,7,7,6,6,6,5,6,4,6,7,A,6
244,23,Returning UNC Student,Yes - Minor,Business,"MATH 130, MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,Out-of-state,No,I am living Internationally,Section 1 - 3:30pm - Sync + Async,6,3,4,5,3,2,6,3,5,4,6,,5,5,5,4,7,7,A,7
245,22,Returning UNC Student,No,Psychology,"MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,2,7,7,5,4,0,7,4,7,5,4,3,7,5,4,3,7,7,B,7
246,23,Returning UNC Student,No,Economics,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,2,2,5,4,3,7,7,6,3,7,4,5,7,7,5,5,5,B,4
247,24,Incoming First-year Student,No,Statistics,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, C / C++, R / Matlab / SAS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,3,7,5,0,4,4,5,4,,,,5,4,5,5,7,A,7
248,24,Incoming First-year Student,No,Statistics,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 151, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,3,2,7,2,2,3,3,4,5,3,,4,6,6,2,6,6,C,5
249,23,Returning UNC Student,No,Statistics,"MATH 130, MATH 231, STOR 155",2-6 months,No,No,UNC,None to less than one month!,"Python, R / Matlab / SAS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,4,3,4,3,3,6,5,4,3,6,,3,4,4,5,3,5,A,6
250,24,Incoming First-year Student,Yes - Minor,Business,MATH 231,2-6 months,No,No,Another college or community college,None to less than one month!,Python,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,7,7,4,2,4,4,3,7,5,7,6,2,7,7,1,6,4,B,6
251,23,Returning UNC Student,Yes - BS,Biology,"MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 2 - 5:00pm - Async,6,4,4,7,7,1,6,5,5,5,4,4,5,4,4,6,7,7,B,7
252,22,Returning UNC Student,No,Economics,"MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,4,4,7,2,3,7,7,7,7,7,,7,7,6,4,7,7,A,7
253,24,Incoming First-year Student,No,Chemistry,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,2,7,6,0,7,6,6,3,4,4,4,4,3,6,5,6,A,6
254,21,Transfered in fall of 2020,No,Psychology,"MATH 130, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,5,3,7,2,1,6,6,5,3,6,,6,6,7,1,4,3,C,3
255,21,Returning UNC Student,No,Economics,"STOR 113, STOR 155",7-12 months,No,No,High school course (IB or other),1 month or so,"Python, R / Matlab / SAS, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,3,3,4,3,0,4,4,5,4,,,4,5,4,4,4,5,B,5
256,22,Returning UNC Student,No,Economics,"MATH 231, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,4,3,7,2,2,3,4,3,4,,,5,6,5,3,3,5,A,4
257,22,Returning UNC Student,No,Psychology,"MATH 129P, MATH 210, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,1,1,6,4,0,3,3,7,5,,,5,7,7,3,5,2,C,4
258,23,Returning UNC Student,No,Environmental Science,"MATH 129P, MATH 231, MATH 232",2-6 months,No,No,High school course (IB or other),1 month or so,"Python, Java / C#, SQL",Out-of-state,No,I am living in the United States,Section 2 - 5:00pm - Async,2,4,1,7,3,2,5,6,3,3,7,7,5,4,4,3,6,7,C,6
259,24,Returning UNC Student,No,Biostatistics,"MATH 231, MATH 232, MATH 233, MATH 381",1-2 years,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, JavaScript / TypeScript",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,6,3,7,5,2,7,5,7,5,7,5,3,6,4,6,6,7,A,7
260,23,Returning UNC Student,No,Psychology,"MATH 231, MATH 232, MATH 381, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,2,2,5,3,1,4,3,4,2,4,,5,6,6,2,5,4,B,4
261,24,Incoming First-year Student,No,Psychology,"MATH 129P, MATH 130, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,5,5,7,4,3,6,5,7,3,7,6,5,6,5,4,6,6,B,7
262,22,Returning UNC Student,No,Environmental Science,"MATH 231, MATH 232, MATH 233, STOR 151",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,4,4,3,7,5,4,6,4,7,3,7,,5,5,4,4,7,7,C,6
263,21,Returning UNC Student,No,Undecided,"MATH 129P, MATH 130, MATH 231, MATH 232, PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,4,2,7,5,2,6,5,6,6,6,6,4,5,3,5,7,6,A,7
264,24,Returning UNC Student,Yes - Minor,Statistics,"MATH 129P, MATH 231, STOR 151",2-6 months,No,Yes,None,None to less than one month!,"Python, Java / C#",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,5,6,2,4,0,6,4,7,6,,,6,4,4,6,6,7,A,7
265,23,Returning UNC Student,No,Math,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381, STOR 151",1-2 years,No,Yes,High school course (IB or other),2-6 months,"Python, Java / C#, HTML / CSS",In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,3,3,5,6,0,7,2,7,2,,,,6,4,6,7,7,A,7
266,21,Returning UNC student/Transfer student,No,Psychology,"MATH 129P, MATH 231, PSYC 210",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,5,5,7,2,2,6,7,7,4,6,,2,5,4,6,6,5,A,7
267,22,Returning UNC Student,Yes - BA,Computer Science,MATH 231,2-6 months,No,No,Another college or community college,None to less than one month!,Python,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,7,7,5,1,4,5,6,7,5,7,7,4,7,7,4,6,7,D,4
268,22,Returning UNC Student,No,Economics,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,No,No,UNC,None to less than one month!,Python,Out-of-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,1,1,5,7,0,6,6,7,5,,,,4,4,5,6,7,A,6
269,23,Returning UNC Student,No,Economics,"MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,7,3,6,1,1,3,5,6,3,6,4,4,7,5,3,5,7,B,4
270,21,Returning UNC Student,No,Psychology,"PSYC 210, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,7,6,1,2,4,3,6,4,7,4,7,4,4,5,5,4,B,4
271,24,Incoming First-year Student,Yes - BA,Computer Science,MATH 231,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,4,4,4,2,5,3,5,3,5,3,5,,,5,5,2,5,7,B,7
272,24,Incoming First-year Student,Yes - BA,Computer Science,"MATH 129P, MATH 231, MATH 232, MATH 233",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,5,3,1,7,6,0,7,2,7,6,,,7,2,5,5,7,6,B,7
273,23,Returning UNC Student,No,Communications,"MATH 129P, MATH 231, MATH 232, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,No,I am living in the United States,Section 1 - 3:30pm - Sync + Async,7,6,5,7,3,1,4,5,7,4,5,,,5,5,5,6,7,B,6
274,24,Incoming First-year Student,No,Business,"MATH 231, MATH 232, MATH 233, MATH 347, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,3,2,7,6,2,7,7,7,6,7,,7,6,6,6,7,7,A,7
275,23,Returning UNC Student,No,French,"MATH 130, MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,1,1,1,6,3,1,7,7,7,6,6,,,5,5,5,7,7,C,7
276,23,Incoming Transfer Student,No,Biology,MATH 231,None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,2,2,1,5,4,3,5,3,1,2,4,,4,7,6,5,1,6,B,2
277,24,Incoming First-year Student,No,Undecided,"MATH 231, MATH 232, MATH 233",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,6,2,2,7,6,1,7,6,7,7,6,,7,4,3,6,7,5,A,7
278,24,Incoming First-year Student,No,Biology,"MATH 129P, MATH 231",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 1 - 3:30pm - Sync + Async,3,1,1,6,1,0,7,5,7,6,4,4,7,5,4,5,7,6,A,7
279,24,Incoming First-year Student,No,Biology,"MATH 130, MATH 231, STOR 155",None to less than one month!,No,No,None,None to less than one month!,None,In-state,Yes,I am living in the United States,Section 2 - 5:00pm - Async,5,1,1,7,4,1,7,5,6,5,7,,,4,4,5,6,5,A,6
